src,tar,src_type,tar_type
dpath.a_lt_b$in1\[1\],_345_,net,cell
_345_,_036_,cell,net
_036_,_347_,net,cell
dpath.a_lt_b$in0\[1\],_347_,net,cell
_347_,_038_,cell,net
dpath.a_lt_b$in1\[0\],_348_,net,cell
_348_,_039_,cell,net
_039_,_349_,net,cell
dpath.a_lt_b$in0\[0\],_349_,net,cell
_349_,_040_,cell,net
_036_,_350_,net,cell
dpath.a_lt_b$in0\[1\],_350_,net,cell
_350_,_041_,cell,net
_038_,_351_,net,cell
_040_,_351_,net,cell
_041_,_351_,net,cell
_351_,_042_,cell,net
dpath.a_lt_b$in1\[3\],_352_,net,cell
_352_,_043_,cell,net
_043_,_353_,net,cell
dpath.a_lt_b$in0\[3\],_353_,net,cell
_353_,_044_,cell,net
dpath.a_lt_b$in0\[3\],_354_,net,cell
_354_,_045_,cell,net
_045_,_355_,net,cell
dpath.a_lt_b$in1\[3\],_355_,net,cell
_355_,_046_,cell,net
_044_,_356_,net,cell
_046_,_356_,net,cell
_356_,_047_,cell,net
dpath.a_lt_b$in1\[2\],_357_,net,cell
_357_,_048_,cell,net
_048_,_358_,net,cell
dpath.a_lt_b$in0\[2\],_358_,net,cell
_358_,_049_,cell,net
dpath.a_lt_b$in0\[2\],_359_,net,cell
_359_,_050_,cell,net
_050_,_360_,net,cell
dpath.a_lt_b$in1\[2\],_360_,net,cell
_360_,_051_,cell,net
_049_,_361_,net,cell
_051_,_361_,net,cell
_361_,_052_,cell,net
_047_,_362_,net,cell
_052_,_362_,net,cell
_362_,_053_,cell,net
_042_,_363_,net,cell
_053_,_363_,net,cell
_363_,_054_,cell,net
_046_,_364_,net,cell
_364_,_055_,cell,net
_044_,_365_,net,cell
_055_,_365_,net,cell
_049_,_365_,net,cell
_365_,_056_,cell,net
_056_,_366_,net,cell
_366_,_057_,cell,net
_054_,_367_,net,cell
_057_,_367_,net,cell
_367_,_058_,cell,net
dpath.a_lt_b$in1\[5\],_369_,net,cell
dpath.a_lt_b$in0\[5\],_369_,net,cell
_369_,_060_,cell,net
dpath.a_lt_b$in1\[4\],_370_,net,cell
dpath.a_lt_b$in0\[4\],_370_,net,cell
_370_,_061_,cell,net
_060_,_371_,net,cell
_061_,_371_,net,cell
_371_,_062_,cell,net
dpath.a_lt_b$in1\[7\],_372_,net,cell
dpath.a_lt_b$in0\[7\],_372_,net,cell
_372_,_063_,cell,net
dpath.a_lt_b$in1\[6\],_373_,net,cell
dpath.a_lt_b$in0\[6\],_373_,net,cell
_373_,_064_,cell,net
_063_,_374_,net,cell
_064_,_374_,net,cell
_374_,_065_,cell,net
_062_,_375_,net,cell
_065_,_375_,net,cell
_375_,_066_,cell,net
_066_,_376_,net,cell
_058_,_376_,net,cell
_376_,_067_,cell,net
dpath.a_lt_b$in1\[4\],_377_,net,cell
_377_,_068_,cell,net
_068_,_378_,net,cell
dpath.a_lt_b$in0\[4\],_378_,net,cell
_378_,_069_,cell,net
dpath.a_lt_b$in0\[5\],_379_,net,cell
_379_,_070_,cell,net
_069_,_380_,net,cell
net79,_380_,net,cell
_070_,_380_,net,cell
_380_,_071_,cell,net
dpath.a_lt_b$in1\[5\],_381_,net,cell
_381_,_072_,cell,net
_072_,_382_,net,cell
dpath.a_lt_b$in0\[5\],_382_,net,cell
_382_,_073_,cell,net
_073_,_383_,net,cell
_383_,_074_,cell,net
_071_,_384_,net,cell
_074_,_384_,net,cell
_384_,_075_,cell,net
_065_,_385_,net,cell
_075_,_385_,net,cell
_385_,_076_,cell,net
dpath.a_lt_b$in1\[7\],_386_,net,cell
_386_,_077_,cell,net
_077_,_387_,net,cell
